62;112;Альфа cash-in RUB;RUB Альфа cash-in;643;3;100000000000000000000000000000000000000000000000000000000010000000000001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
63;44;QIWI RUB;RUB QIWI;643;1;111111111101111111110110111111100101110011111111111000010011111111111111111101111111100111100001100111111100111110011111111111111011111111111111111111001100001111111111000100100010000000110100111101
64;117;Русский Стандарт;RUB РусСтандарт;643;3;111111111101111111111111111111111111111111111111110000010011111111111111111100111110000000000001000111111100000000000000000110001011111101000000100100001100100110001000001100001000000000000000000000
65;147;Visa/MasterCard EUR;EUR Карта;978;3;111111111101111111111111111011110101111011111011111000000011111111111111111100111001100000000001100111111100110010011111010111001011111101111101110111001100101111111110001100101010000000000000000000
57;121;Кукуруза;RUB Кукуруза;643;3;111010111101111111100110011110000100100010010001110000010011010000111111110000000000000100000000000111111100000000000000000000000010001100000000000100000000000000000000000000000000000000000000000000
66;144;Kaspi Bank;KZT KaspiBank;398;3;111110111101111111110110111011101101100011110011111001000011111111111111111100111000000110000001100111111100110010011001010110001011111100111101111111001100101110001110001100001000000000000000000000
67;180;WU USD;USD WU;840;4;111110111111111111111111111011111111111100010001100000010011000000111101111000010100000000000000000100000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000
68;133;Ощадбанк;UAH Ощадбанк;980;3;111111111101111111111111111011111111111111111111111000011011111111111111111100111110000110000001100111111101110010011111111111101011111101011101010101001100101110101000100100001000000000000000010100
69;162;Любой банк USD;USD Банк;840;3;111111111101111111111110011011100100010011110011111000000011111111111111110000111000000100000001000111111000110010011111010100000011001101001001111101000000001100100000000000000000000000000000000000
73;86;PaySafeCard;EUR PSC;978;1;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
70;164;Любой банк EUR;EUR Банк;978;3;111111111101111111111110011011100100010011110011111000000011010000111111110000110000000010100001000111100000000000000000000000000000000000000000000000000000000001000000000000000010000000000000100000
71;163;Любой банк RUB;RUB Банк;643;3;111111111101111111111111111011111111111111110011111000010011111111111111111100111000000100010001100111111100110010011011010110001011111101111101111111001100101110001110001100001000000000000000000000
72;82;Neteller USD;USD Neteller;840;1;110010111001101000000100001010000100000000011101100000000011000000111101111000000000000000000000000000000000110010011111010011101011111111000000111100000000001000000000000000000000000000000000100000
74;79;Paxum;USD Paxum;840;1;000000000000011000000000000000000000000000010001100000000010000000100000000000000000000000000010000000000000110000000000000000000110000000000000110110000000000001010100000000110000000000000000101010
11;78;Idram;AMD Idram;51;1;100000010000010000000000000000000000000000011101110000001011001000111001110000010000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
75;143;ForteBank;KZT ForteBank;398;3;111110111101111111110110111011101101100011110011111001000011111111111111111100111000000110000001100111111100100000000000000000000000000000011111110100000100100000000000000000000000000000000000000000
76;87;Apple Pay;RUB ApplePay;643;1;000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
77;184;MoneyGram EUR;EUR MG;978;4;110010111101111111111110101011111111111100010001100000000011000000101101010000010000000000000000000100000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000
78;183;MoneyGram USD;USD MG;840;4;110010111101111111111110101011111111111100010001100000000011000000101101010000010100000000000000000100000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000
79;118;Авангард;RUB Авангард;643;3;111111111101111111111111111011111111111111111111111000010011111111111111111100111110000000000001100111111100000000000000000000000011011101000000100100001100100010001000000000000000000000000000000000
80;65;PayPal EUR;EUR PayPal;978;1;100000000000000000000000000000000000000000010001111000000011000000111000001100000000000000000000000000000000000000000000000000000011111101000000000100000000000000001000000000000000000000000000001100
81;168;Любой банк GBP;GBP Банк;826;3;110010110001011000100010001010000100000000000000111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
82;105;LiveCoin USD;USD LiveCoin;840;2;111110111101111111110110111011101101110011111111111000000011111111111111111101111000000100110001100111110100110010011111111111111111111101111111111111001100101111111110001100001001111100110011100000
83;157;Visa/MasterCard TRY;TRY Карта;949;3;110011111101111111111110011011100100010010000000110000000011110000111101110000010000000000000001000110011000110010011011010110001010000000111101111111001100001110000000001100001000000000000000000000
84;136;Монобанк;UAH Монобанк;980;3;111111111101111111111111111011111111111111111111111000011011111111111111111100111110000110000001100111111101110010011111111111101011111101111111111111001100101110101110100100001000000000000000010100
85;81;Capitalist RUB;RUB Capitalist;643;1;110110111101111101010110111010101100010010011011110000000011111111111011110000010000000100000001100111111100110010011111111111111111111101111111111111001100101111111110001100001001111100110011000000
86;189;Юнистрим USD;USD Юнистрим;840;4;111110111111111111111111111011111111111100010001100000000011000000110001100000000000000000000000000100000000010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000
87;57;Paymer USD;USD Paymer;840;1;100010100000101100000000000000000000000000000000000000000011000000110001110000010000000000000000000100000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000
88;67;Advanced Cash USD;USD AdvCash;840;1;111111111101111111111111111011111111111111111111111000001011111111111111111101111111100111110011100111111100111111011111111111111111111111111111111111011100101111111111011100111011111111111111111110
89;193;Наличные USD;USD Наличными;840;5;111010111101111111111111111011111111011100011101111000000011011110111101011000110101000010110000000100000001100010010000000000000010100100000000101100000000000000001000000000000000000000000000000000
90;141;HalykBank;KZT HalykBank;398;3;111110111101111111110110111011101101100011110011111001000011111111111111111100111000000110000001100111111100110010011001010110001011111100111111111111001100101110001110001100001000000000000000000000
91;194;Наличные RUB;RUB Наличными;643;5;110011111101111111110110011011100100000000010011110000000011110000111111110000011000000010100001000110011000110010011011010110001011111100111101111111001100101110001110001100001000000000000000000000
92;196;Наличные UAH;UAH Наличными;980;5;111010111101111111111110101011111111011100010001111000000011010000111101000000110000000000000000000000000001000000000000000000000010000000000000000100000000000000000000000000000000000000000000000000
93;1;Bitcoin (BTC);BTC;967;0;111111111101111111111110111011111111110111111111111000001011111111111111111101111110000111110111111111111101111111011111111111111111111111111111111111011101101111111110111110111011111111111111111110
94;198;Наличные KZT;KZT Наличными;398;5;100010111001101111000010011010000000000000010001111000000010010000111001100000000000000000000001000110010000110010011011010100000011100100011101111111001100001000100010000000000000000000000000000000
95;120;Газпромбанк;RUB ГПБ;643;3;111111111101111111111111111111111111111111111111111000010011111111111111111100111110000100000001100111111100000000000000000110001011111101000000100100001100100110001000001100001000000000000000000000
96;56;WMX;WMX;998;1;000000000000000000000000000000000000000000011101111000000000001110000000000000000000000000000000000000000000110010011111111111111011111101000000111100000000000000101000000000000000000000000000000000
97;93;Epay EUR;EUR Epay;978;1;000000010000010000000000000000000000000000011101100000000011001110111111010000000001100000010000000101000000100000000000000000000000000000000000111101000000000001110001000000100010000000000000100000
98;64;PayPal RUB;RUB PayPal;643;1;100000000000000000000000000000000000000000010001111000000011000000111001011100000100000000000000000000000000110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000
99;7;Litecoin (LTC);LTC;997;0;111111111101111111111110111111111111111111111111111000001011111111111111111101111110000110110101111111111101111111011111111111111111111111111111111111011101101111111110111100111011111111111111111110
100;160;Карта UnionPay;CNY UnionPay;156;3;111110111101111111100010011010000000000000010011000000000011110000111001110000000000000000000001000111010000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000
101;185;Contact USD;USD Contact;840;4;111110111111111111111111111011111111111100000000000000000010001010110001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
102;165;Любой банк UAH;UAH Банк;980;3;111111111101111111111111111011111111111111110011111000011011111111111111111100111000000000000001100111111101110010011111111111101011110101111111111111001100101110101110100100001000000000000000111100
103;140;Казкоммерцбанк;KZT Казкомбанк;398;3;111110111101111111110110111011101101100011110011111001000011111111111111111100111000000110000001100111111100110010011001010110001011111100111101111111001100101110001110001100001000000000000000000000
104;35;ICON (ICX);ICX;110;0;110010111001111011101110111011101111111100010001000000000010001010100001000000010000000000010000010000000000111111011111111110001011111111000000111100000001000000101000100000000001000011111100110100
105;113;Тинькофф;RUB Тинькофф;643;3;111111111101111111111111111111111111111111111111111000010011111111111111111100111110000110110001100111111100000000000000000110001011111101000000110100001100100110001000001100001000000000000000000000
