573;Биткоин24;;0;38178
575;Your-Coins;;0;74162
576;ObmenEW;;0;5829
577;Bit-Обменка;;0;773844
580;4ange;;0;15949050
581;8Pay;437302142553;999;1199070
582;Обмен24;929821584599;1610;171999
583;SBitcoin;;0;3807921
584;F-Change;;0;366593
585;ObmenoFF;;0;224784
586;КэшБанк;;0;11928922
587;Payforia;;0;424753
589;ObmenTech;421609434468;1448;0
588;7Money;;0;45076
590;ExMoney;;0;10939
599;iChanger;360880458968;1004;126556
604;BestObmen;;0;14729
608;GeeExchange;;0;10656718
606;CryptoMoney;;0;0
605;Buy-Bitcoins;;0;17520805
607;60сек;;0;36495743
609;ObmenMoney;279259009479;723;149046
611;ChangerClub;;0;1755466
614;El-Change;;0;285070
615;Pocket-Exchange;;0;36495
619;LeoExchanger;;0;152626
620;4Exchange;;0;7618
621;Pay-Today;;0;3134396
618;24BestEx;;0;5002122
624;VV-Obmen;;0;20894
622;ProstoCash;;0;163819898
625;PayGet;;0;4863358
629;MonEx;189133223119;2330;122920
626;Best-Obmen;;0;5278638
640;BTC2Pay;221447616216;1005;70127
632;Midas24;;0;1752
636;WorldChange;;0;50626
664;BitHunter;;0;1035662
667;BitMonsters;;0;255233
645;BtcBit;;0;9143398
681;CryptoHome;;0;4707996
635;Staff-Obmen;;0;468
633;YChanger;;0;59262161
733;Bonanza-Obmen;;0;9530
736;Обменник-UZ;;0;7532
637;EuroBitcoins;;0;2719451
634;BestCoin;;0;1560788
668;MyCryptoMarket;;0;1044860
722;Алтын;;0;15627
650;Real-Bit;;0;1525910
638;Bitcoin24SU;;0;60383
642;BuyBit;;0;74308
678;Ym-Change;;0;1727
655;BitStore;;0;1373967
709;Nexchange;;0;84036
659;1-Online;;0;30177359
665;Perfect-Change;;0;12158
670;FastEx;;0;45043
652;LasloBit;;0;751299
653;BTC-Online;;0;912500
731;BigBank;;0;161303
689;TransCoin;;0;2259613
651;Монетка;702499140547;788;53100
657;Easy-Changer;;0;706439
661;Ферма;;0;2490057
677;Bitcoin24Exchange;;0;644443
654;Ru-Bas;;0;33641
738;HASchange;;0;152643
702;Papa-Change;;0;123077
660;FlyChange;290933993890;2344;1266063
693;CryptoBroker;;0;8044792
714;Top-Exchange;;0;449454
719;ObmenLite24;483565345269;852;4188
672;99Francs;;0;0
715;Coins-Trade;;0;261847
676;Иеремия76;;0;25604
658;BtcTenge;;0;3738065
762;TetChange;087085525470;538;1044923
686;Vinza;;0;0
708;ObmennegRu;050730829631;184;0
695;BTC-Обменник;;0;3819069
706;HoBit;;0;287917
705;Cryptonex;;0;12397
697;ChangeTime;828193256536;474;3767
687;WikiPays;;0;609021
746;V-Obmen24;;0;0
701;WMCash;236702904683;959;154957
749;BitOkk;;0;22089421
690;Fair-Exchange;413428403759;0;0
685;BitCash;;0;306109
684;100Bitcoins;;0;109047
723;BitObmen;;0;41518
718;Platov;;0;224385
704;Change-X;;0;7301227
692;C1kWorld;;0;2622058
688;ExchangeExpress;279259009479;723;10762
710;Bittrend;;0;100000
712;Criptify;;0;27397
755;Big-Changer;;0;9659
699;BitPro;;0;0
703;Obmen4you;320026778932;1155;8168
729;WallBTC;;0;0
726;ObmenMarket;;0;0
739;AcryptoExchange;;0;4427493
716;Биток777;;0;0
711;HelpChange;;0;0
751;ObmenExpert;;0;4638
782;Tec-Bit;;0;6901
750;CashAdmin;;0;133483
728;ElectronExchange;888980571267;889;233037
763;PushPayer;753021635396;3;78523
758;CryptoBox;;0;5649844
741;BTCe-Obmen;;0;3311
737;BonkyPay;232342940453;140;368445
761;FlashObmen;;0;155810
745;CryptoChange24;;0;166509
754;ObmenIM;;0;159364
783;ОбменДенег;;0;12750
770;BTC24pro;;0;409746
790;Турбина;;0;0
776;XbiTrade;;0;175537
765;Bit-Exchange;;0;6634559
785;PayMarket;;0;31842
775;AllWMCash;;0;152598
804;PayBTC;;0;1370688
780;Bitcoin24Pro;;0;7260690
774;ОбменМонет;;0;5946271
766;UniCash;;0;17726734
764;NiceChange;;0;58470236
786;EmExchanger;;0;24317
772;CoinPayMaster;;0;10041112
792;SberBit;;0;5059277
799;Криптообменник;;0;0
787;PrivatCash;;0;201223
805;BTCstaff;;0;63896
801;Coin-Future;;0;12827
798;Quickex;;0;8090361
806;Mercuryo;;0;12054346
807;CryptoBar;;0;0
808;ChangeCoins;;0;1392617
814;BitBits;;0;2083
835;7Pay;709807738416;938;130340
827;Crypster;;0;2504905
818;R-Obmen;;0;1017
812;Ex-Bank;;0;79569
823;Обменочка;;0;2614
832;LiveTrader;;0;576
809;XbitMoney;155289860990;1127;152868
833;ExchangeWeb;;0;0
825;MyChanger;;0;942639
816;WM007;;0;40381
840;YoChange;;0;80907291
841;MegaChangeMe;432189717906;133;3838
838;AlfaExchange;;0;2485006
836;HotRate;;0;176410
822;DarkVIP;;0;0
821;ExchangeTeam;;0;48245
815;Belqi;;0;11127790
856;Fenix-Pay;;0;3632
850;Keine-Exchange;;0;235301
846;ExchangeYourMoney;;0;74599
847;BitPride-Exchange;;0;21578994
848;SwapCoin;;0;2817158
852;RamonCash;;0;275966
843;BrokenBit;;0;3362
844;Капуста;181897906569;379;17598
857;Paytiz;227421344645;229;3185734
855;CoinStart;;0;403658
858;FixedFloat;;0;112383
862;WMZ;218621457637;221;47849
861;Fex24;;0;63172
865;Bixter;;0;3111064
869;ExpoChange;412963033166;0;237933
866;Delets;;0;212610
872;WM-Obmen;362955051206;1527;169971
871;BitokBy;;0;13040820
895;CryptoBarMen;;0;19681
876;PonyBit;194761678652;63;2842
867;Сумма;;0;197395
870;Alfa-Trades;;0;0
886;ObmenCrypto;;0;26314907
882;BuyBank;;0;297275
881;AllTrustMe;;0;21101343
879;SafeCurrency;;0;3284531
877;Об-мен;963523258975;60;135792
883;101Crypta;;0;3245646
884;Cryptex;;0;86522
874;ChangeHero;;0;12299945
905;TraiderIdeal;;0;13809
902;BTC-Волга;;0;0
885;JPMarket;;0;2566
897;AnonEx;;0;36400
888;GramBit;;0;234772132
894;КупиБит;;0;4817929
